underdrain_col,u_mps,dp_pa,medium,mean_diameter_m,equiv_diameter_m,porosity,sphericity_recorded
Pumice stone 1,3.855e-06,0.0002216142585053572,Medium pumice stones,0.012549999999999999,0.008282999999999999,0.66,0.66
Pumice stone 2,3.855e-06,0.023706105419259712,Pea gravels,0.0056,0.003696,0.3620689655172414,0.66
Pumice stone 3,3.855e-06,0.0020452162841434235,Glass marbles,0.01574,0.0103884,0.39655172413793105,0.66
Small pumice stone ,3.855e-06,0.001806959631231807,Small pumice stones,0.006958333333333334,0.0045925,0.5689655172413793,0.66
Pumice stone 5,3.855e-06,0.004193634008193621,White pebbles,0.014716666666666668,0.009713000000000001,0.3448275862068966,0.66
Pumice stone 1,4e-06,0.00022996290778089264,Medium pumice stones,0.012549999999999999,0.008282999999999999,0.66,0.66
Pumice stone 2,4e-06,0.02459810492663829,Pea gravels,0.0056,0.003696,0.3620689655172414,0.66
Pumice stone 3,4e-06,0.0021222285837673616,Glass marbles,0.01574,0.0103884,0.39655172413793105,0.66
Small pumice stone ,4e-06,0.0018749719551202978,Small pumice stones,0.006958333333333334,0.0045925,0.5689655172413793,0.66
Pumice stone 5,4e-06,0.004351520586762499,White pebbles,0.014716666666666668,0.009713000000000001,0.3448275862068966,0.66
Pumice stone 1,5e-06,0.000287565391678378,Medium pumice stones,0.012549999999999999,0.008282999999999999,0.66,0.66
Pumice stone 2,5e-06,0.030750477473320353,Pea gravels,0.0056,0.003696,0.3620689655172414,0.66
Pumice stone 3,5e-06,0.0026535148630548087,Glass marbles,0.01574,0.0103884,0.39655172413793105,0.66
Small pumice stone ,5e-06,0.0023441138035576034,Small pumice stones,0.006958333333333334,0.0045925,0.5689655172413793,0.66
Pumice stone 5,5e-06,0.005440688423410075,White pebbles,0.014716666666666668,0.009713000000000001,0.3448275862068966,0.66
Pumice stone 1,6e-06,0.0003452125783567681,Medium pumice stones,0.012549999999999999,0.008282999999999999,0.66,0.66
Pumice stone 2,6e-06,0.03690398854601141,Pea gravels,0.0056,0.003696,0.3620689655172414,0.66
Pumice stone 3,6e-06,0.003185092795680498,Glass marbles,0.01574,0.0103884,0.39655172413793105,0.66
Small pumice stone ,6e-06,0.002813415195857801,Small pumice stones,0.006958333333333334,0.0045925,0.5689655172413793,0.66
Pumice stone 5,6e-06,0.0065303713360404326,White pebbles,0.014716666666666668,0.009713000000000001,0.3448275862068966,0.66
Pumice stone 1,7e-06,0.0004029044678160631,Medium pumice stones,0.012549999999999999,0.008282999999999999,0.66,0.66
Pumice stone 2,7e-06,0.04305863814471146,Pea gravels,0.0056,0.003696,0.3620689655172414,0.66
Pumice stone 3,7e-06,0.0037169623816444295,Glass marbles,0.01574,0.0103884,0.39655172413793105,0.66
Small pumice stone ,7e-06,0.0032828761320208904,Small pumice stones,0.006958333333333334,0.0045925,0.5689655172413793,0.66
Pumice stone 5,7e-06,0.007620569324653569,White pebbles,0.014716666666666668,0.009713000000000001,0.3448275862068966,0.66
Pumice stone 1,8e-06,0.000460641060056263,Medium pumice stones,0.012549999999999999,0.008282999999999999,0.66,0.66
Pumice stone 2,8e-06,0.049214426269420526,Pea gravels,0.0056,0.003696,0.3620689655172414,0.66
Pumice stone 3,8e-06,0.0042491236209466045,Glass marbles,0.01574,0.0103884,0.39655172413793105,0.66
Small pumice stone ,8e-06,0.003752496612046873,Small pumice stones,0.006958333333333334,0.0045925,0.5689655172413793,0.66
Pumice stone 5,8e-06,0.008711282389249491,White pebbles,0.014716666666666668,0.009713000000000001,0.3448275862068966,0.66
Pumice stone 1,9e-06,0.0005184223550773677,Medium pumice stones,0.012549999999999999,0.008282999999999999,0.66,0.66
Pumice stone 2,9e-06,0.055371352920138575,Pea gravels,0.0056,0.003696,0.3620689655172414,0.66
Pumice stone 3,9e-06,0.004781576513587023,Glass marbles,0.01574,0.0103884,0.39655172413793105,0.66
Small pumice stone ,9e-06,0.004222276635935747,Small pumice stones,0.006958333333333334,0.0045925,0.5689655172413793,0.66
Pumice stone 5,9e-06,0.00980251052982819,White pebbles,0.014716666666666668,0.009713000000000001,0.3448275862068966,0.66
Pumice stone 1,1e-05,0.0005762483528793773,Medium pumice stones,0.012549999999999999,0.008282999999999999,0.66,0.66
Pumice stone 2,1e-05,0.06152941809686562,Pea gravels,0.0056,0.003696,0.3620689655172414,0.66
Pumice stone 3,1e-05,0.005314321059565682,Glass marbles,0.01574,0.0103884,0.39655172413793105,0.66
Small pumice stone ,1e-05,0.004692216203687515,Small pumice stones,0.006958333333333334,0.0045925,0.5689655172413793,0.66
Pumice stone 5,1e-05,0.010894253746389672,White pebbles,0.014716666666666668,0.009713000000000001,0.3448275862068966,0.66
Pumice stone 1,1.1e-05,0.0006341190534622918,Medium pumice stones,0.012549999999999999,0.008282999999999999,0.66,0.66
Pumice stone 2,1.1e-05,0.06768862179960165,Pea gravels,0.0056,0.003696,0.3620689655172414,0.66
Pumice stone 3,1.1e-05,0.005847357258882584,Glass marbles,0.01574,0.0103884,0.39655172413793105,0.66
Small pumice stone ,1.1e-05,0.005162315315302174,Small pumice stones,0.006958333333333334,0.0045925,0.5689655172413793,0.66
Pumice stone 5,1.1e-05,0.011986512038933932,White pebbles,0.014716666666666668,0.009713000000000001,0.3448275862068966,0.66
