,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
k[Glass marbles],0.0,0.0,0.0,0.0,0.0,0.0,7.0,15.0,1.63
k[Medium pumice stones],0.0,0.0,0.0,0.0,0.0,0.0,4.0,11.0,4.09
k[Pea gravels],0.0,0.0,0.0,0.0,0.0,0.0,4.0,11.0,4.09
k[Small pumice stones],0.0,0.0,0.0,0.0,0.0,0.0,5.0,12.0,3.16
k[White pebbles],0.0,0.0,0.0,0.0,0.0,0.0,4.0,11.0,3.58
beta[Glass marbles],1935.949,543.864,1621.988,2877.832,270.842,156.351,7.0,12.0,1.58
beta[Medium pumice stones],4728.724,3473.044,1470.501,10066.899,1729.562,730.166,4.0,14.0,3.63
beta[Pea gravels],336624.145,411648.739,7165.869,1021935.548,204999.419,107825.57,4.0,11.0,3.96
beta[Small pumice stones],2550.664,2248.405,953.238,6425.393,1119.697,639.999,4.0,13.0,3.53
beta[White pebbles],3021.868,275.764,2859.045,3499.431,137.33,79.272,4.0,18.0,3.42
sigma[Glass marbles],0.0,0.0,0.0,0.0,0.0,0.0,4.0,11.0,3.36
sigma[Medium pumice stones],0.0,0.0,0.0,0.0,0.0,0.0,4.0,13.0,3.66
sigma[Pea gravels],0.009,0.01,0.0,0.026,0.005,0.003,4.0,17.0,3.25
sigma[Small pumice stones],0.0,0.0,0.0,0.0,0.0,0.0,4.0,11.0,3.59
sigma[White pebbles],0.0,0.0,0.0,0.0,0.0,0.0,4.0,11.0,3.98
